"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"12795","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/197969","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","24-Jun-2026","D B CONSTRUCTION","Payment Success","984126"
"12796","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/159143","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","06-May-2025","D B CONSTRUCTION","Payment Success","984842"
"12797","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/159847","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","31-May-2025","D B CONSTRUCTION","Payment Success","787074"
"12798","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18403/2025-2026/174541","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","30-Mar-2026","VADGAMA GRAM PANCHAYAT","Payment Success","500000"
"12799","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18288/2025-2026/255664","Mahisagar(COLLECTOR MAHISAGAR_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","23-Jun-2026","KALAKHETRA GROUP GRAM PANCHAYAT","Payment Success","250000"
"12800","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2024-2025/154659","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","22-Jan-2025","NANDOTRA GRAM PANCHAYAT","Payment Success","400000"
"12801","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP889/2024-2025/154657","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","22-Jan-2025","NANDOTRA GRAM PANCHAYAT","Payment Success","200000"
"12802","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2024-2025/133669","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","25-Oct-2024","NANDOTRA GRAM PANCHAYAT","Payment Success","500000"
"12803","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2024-2025/133670","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","25-Oct-2024","NANDOTRA GRAM PANCHAYAT","Payment Success","250000"
"12804","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2026-2027/276618","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","17-Jul-2026","MS RASTRAVEER","Payment Success","952135"
"12805","Maharashtra","Construction of boundary walls of existing public and community buildings","WS/MP112/2024-2025/136773","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","14-Oct-2024","RONIT SHAHAJI PATIL","Payment Success","1500000"
"12806","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/43943","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","16-Oct-2024","ANIL KUMAR SINGH","Payment Success","385542"
"12807","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2024-2025/145086","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","18-Oct-2024","MAHAKAL TRADERS","Payment Success","450000"
"12808","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP106/2026-2027/275526","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","28-May-2026","MAHAKAL TRADERS","Payment Success","400000"
"12809","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP106/2025-2026/227443","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Sep-2025","MAHAKAL TRADERS","Payment Success","400000"
"12810","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2025-2026/205966","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","14-Jun-2026","MAHAKAL TRADERS","Payment Success","100000"
"12811","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2025-2026/205966","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","27-Jul-2025","MAHAKAL TRADERS","Payment Success","500000"
"12812","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2024-2025/166880","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","10-Mar-2025","MAHAKAL TRADERS","Payment Success","500000"
"12813","Madhya Pradesh","Construction of buildings for crèches and anganwadies","WS/MP106/2026-2027/275527","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","14-Jun-2026","MAHAKAL TRADERS","Payment Success","400000"
"12814","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/197580","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Jul-2025","MAHAKAL TRADERS","Payment Success","500000"
"12815","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2026-2027/259588","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","17-Apr-2026","MAHAKAL TRADERS","Payment Success","400000"
"12816","Tamil Nadu","Street lights","WS/MP165/2024-2025/96038","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","17-Oct-2024","ARULPRAKASH A","Payment Success","500000"
"12817","Tamil Nadu","Street lights","WS/MP165/2024-2025/96039","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","17-Oct-2024","ARULPRAKASH A","Payment Success","500000"
"12818","Puducherry","Purchase of vans and buses for educational institutions","WS/MP139/2026-2027/134712","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","23-Jun-2026","ASHOK LEYLAND","Payment Success","3724521"
"12819","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP180/2023-2024/82128","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","09-Jan-2025","Narayan Construction","Payment Success","116961"
"12820","Maharashtra","Construction of public libraries and reading rooms","WS/MP108/2024-2025/140691","BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","10-Jan-2025","Shweta Tukaram Rathod","Payment Success","1121346"
"12821","Maharashtra","Construction of public libraries and reading rooms","WS/MP108/2024-2025/140691","BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","04-Mar-2025","Shweta Tukaram Rathod","Payment Success","666465"
"12822","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2024-2025/132960","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Apr-2025","E K Abdulsalam","Payment Success","252753"
"12823","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2024-2025/144163","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","19-Oct-2024","E K Abdulsalam","Payment Success","813794"
"12824","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2024-2025/132960","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","16-Jun-2025","E K Abdulsalam","Payment Success","154583"
"12825","Madhya Pradesh","Construction of community centers and community halls","WS/MP103/2023-2024/34180","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","27-Jun-2025","SHRI RAM BUILDCON","Payment Success","187339"
"12826","Madhya Pradesh","Construction of community centers and community halls","WS/MP103/2023-2024/34180","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","24-Jan-2025","SHRI RAM BUILDCON","Payment Success","356428.12"
"12827","Madhya Pradesh","Construction of community centers and community halls","WS/MP103/2023-2024/34180","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","05-Aug-2026","SHRI RAM BUILDCON","Payment Success","135408"
"12828","Tamil Nadu","Lighting of public spaces","WS/MP014/2024-2025/77827","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","22-Oct-2024","M KRISHNAVENI","Payment Success","1729024"
"12829","Nagaland","Construction of water tanks","WS/MP233/2024-2025/133827","TUENSANG(Deputy Commissioner Tuensang_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","27-Nov-2024","YANGDIPI SANGTAM","Payment Success","1000000"
"12830","Nagaland","Construction of water tanks","WS/MP233/2024-2025/133827","TUENSANG(Deputy Commissioner Tuensang_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Oct-2024","YANGDIPI SANGTAM","Payment Success","1000000"
"12831","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2023-2024/25438","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","21-Oct-2024","GRAM PANCHAYAT TAMBER","Payment Success","150000"
"12832","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2023-2024/25438","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","15-Jul-2025","GRAM PANCHAYAT TAMBER","Payment Success","150000"
"12833","Bihar","Construction of public toilets and bathrooms","WS/MP052/2023-2024/15959","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","25-Oct-2024","AJAY KUMAR","Payment Success","1316215"
"12834","Bihar","Construction of public toilets and bathrooms","WS/MP052/2023-2024/15959","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","13-Jan-2025","AJAY KUMAR","Payment Success","131283"
"12835","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP166/2024-2025/126273","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","22-Oct-2024","N RAMESH","Payment Success","800000"
"12836","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP166/2024-2025/126274","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","22-Oct-2024","N RAMESH","Payment Success","222000"
"12837","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/216998","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","09-Nov-2025","Arun construction company","Payment Success","995963"
"12838","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/216913","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","08-Dec-2025","Arun construction company","Payment Success","998289"
"12839","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP148/2025-2026/212177","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","20-May-2026","Arun construction company","Payment Success","495112"
"12840","Rajasthan","Security gates in streets/public place for safety purpose","WS/MP148/2025-2026/212192","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","20-May-2026","Arun construction company","Payment Success","498962"
"12841","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2025-2026/184124","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","30-Jun-2025","Arun construction company","Payment Success","746874"
"12842","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2023-2024/98879","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","23-Oct-2024","Arun construction company","Payment Success","958689"
"12843","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/177027","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","12-Aug-2025","Dhaka Stone Comapny","Payment Success","1200000"
"12844","Rajasthan","Development of playground","WS/MP146/2025-2026/177026","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","09-Jul-2026","Dhaka Stone Comapny","Payment Success","299999"
"12845","Rajasthan","Development of playground","WS/MP146/2025-2026/177026","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","14-Oct-2025","Dhaka Stone Comapny","Payment Success","1200000"
"12846","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP106/2023-2024/26208","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","23-Oct-2024","HARDIK TRADERS AND KHUSHI HARDWARE","Payment Success","65471"
"12847","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP099/2025-2026/140166","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","02-Sep-2025","ANIL KUMAR P B","Payment Success","527820"
"12848","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP099/2024-2025/133001","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","16-Nov-2024","ANIL KUMAR P B","Payment Success","490869"
"12849","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP101/2026-2027/226446","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","08-Jul-2026","NIZAR M V","Payment Success","442232"
"12850","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP831/2024-2025/140242","DARRANG(DEPUTY COMMISSIONER DARRANG_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","18-Nov-2024","TURAI ABHINAV NGO","Payment Success","720000"
"12851","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP831/2024-2025/140242","DARRANG(DEPUTY COMMISSIONER DARRANG_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","25-Feb-2025","TURAI ABHINAV NGO","Payment Success","480000"
"12852","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/145867","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","10-Oct-2025","DELANIYAPARA","Payment Success","500000"
"12853","Uttar Pradesh","Construction of buildings for community cultural activities","WS/MP192/2023-2024/13279","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","03-Apr-2025","LAVI CONTRACTORS","Payment Success","48462"
"12854","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP192/2023-2024/13276","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","21-Nov-2024","LAVI CONTRACTORS","Payment Success","915616"
"12855","Uttar Pradesh","Construction of buildings for community cultural activities","WS/MP192/2023-2024/13279","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","09-Nov-2024","LAVI CONTRACTORS","Payment Success","451691"
"12856","Gujarat","Construction of rooms and halls in school and colleges","WS/MP889/2025-2026/149376","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","14-Oct-2025","DAMA GRAMPANCHAYAT","Payment Success","500000"
"12857","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138036","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","17-Feb-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","124575"
"12858","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138212","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","17-Feb-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","124575"
"12859","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138033","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","17-Feb-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","124575"
"12860","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138213","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","17-Feb-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","124575"
"12861","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138216","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","17-Feb-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","124575"
"12862","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138216","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","18-Jan-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","375000"
"12863","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138033","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","18-Jan-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","375000"
"12864","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138036","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","18-Jan-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","375000"
"12865","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138213","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","18-Jan-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","375000"
"12866","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138212","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","18-Jan-2025","P S KRUPAKAR KSEN INFRATECH PVT LTD","Payment Success","375000"
"12867","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138186","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","18-Jan-2025","ASHWINI K V","Payment Success","375000"
"12868","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138220","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","18-Jan-2025","ASHWINI K V","Payment Success","375000"
"12869","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138223","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","18-Jan-2025","ASHWINI K V","Payment Success","375000"
"12870","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138222","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","18-Jan-2025","ASHWINI K V","Payment Success","375000"
"12871","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/172644","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","05-Jun-2025","ASHWINI K V","Payment Success","499575"
"12872","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/173278","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","05-Jun-2025","ASHWINI K V","Payment Success","498408"
"12873","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138186","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","17-Feb-2025","ASHWINI K V","Payment Success","124150"
"12874","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138222","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","17-Feb-2025","ASHWINI K V","Payment Success","124466"
"12875","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138223","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","17-Feb-2025","ASHWINI K V","Payment Success","124466"
"12876","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/138220","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","17-Feb-2025","ASHWINI K V","Payment Success","124466"
"12877","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/155219","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","03-Mar-2025","ASHWINI K V","Payment Success","499466"
"12878","Gujarat","Purchase of sports equipment","WS/MP889/2024-2025/147869","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","23-Feb-2025","SAMBHAV ENTERPRISE","Payment Success","499750"
"12879","Gujarat","Purchase of sports equipment","WS/MP889/2024-2025/147872","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","23-Feb-2025","SAMBHAV ENTERPRISE","Payment Success","499750"
"12880","Gujarat","Purchase of sports equipment","WS/MP889/2024-2025/162268","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","23-Feb-2025","SAMBHAV ENTERPRISE","Payment Success","499750"
"12881","Gujarat","Purchase of sports equipment","WS/MP889/2024-2025/162270","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","23-Feb-2025","SAMBHAV ENTERPRISE","Payment Success","499750"
"12882","Gujarat","Purchase of sports equipment","WS/MP889/2024-2025/162271","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","23-Feb-2025","SAMBHAV ENTERPRISE","Payment Success","499750"
"12883","Gujarat","Purchase of sports equipment","WS/MP889/2024-2025/162273","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","23-Feb-2025","SAMBHAV ENTERPRISE","Payment Success","499750"
"12884","Gujarat","Purchase of sports equipment","WS/MP889/2024-2025/162275","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","23-Feb-2025","SAMBHAV ENTERPRISE","Payment Success","499750"
"12885","Gujarat","Purchase of sports equipment","WS/MP889/2024-2025/162276","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","23-Feb-2025","SAMBHAV ENTERPRISE","Payment Success","499750"
