state,vendor_name,canonical_vendor
Andhra Pradesh,AVUTHU NARAYANA REDDY,AVUTHU NARAYANA REDDY
Andhra Pradesh,ADAPA NARAYANA REDDY,AVUTHU NARAYANA REDDY
Andhra Pradesh,LAKSHMI GANAPATHI CONSTRUCTIONS,LAKSHMI GANAPATHI CONSTRUCTIONS
Andhra Pradesh,VADLAMUDI PARVATHI,VADLAMUDI PARVATHI
Andhra Pradesh,MEMBER VILLAGE WORKS COMMITTEE BANDARUPALLI,MEMBER VILLAGE WORKS COMMITTEE BANDARUPALLI
Andhra Pradesh,SAI RAM INFRA,SAI RAM INFRA
Andhra Pradesh,CHAIRMAN WORKS COMMITTEE LAM,CHAIRMAN WORKS COMMITTEE LAM
Andhra Pradesh,SRI VENKATA NEHA INFRA,SRI VENKATA NEHA INFRA
Andhra Pradesh,CHAIRMAN WORKS COMMITTEE GOLLAPALEM,CHAIRMAN WORKS COMMITTEE GOLLAPALEM
Andhra Pradesh,SANKARA RAO RAYAPUDI,SANKARA RAO RAYAPUDI
Andhra Pradesh,MAHAMMAD ABDUL RAHIM,MAHAMMAD ABDUL RAHIM
Andhra Pradesh,VETERINARY EQUIPMENT TECHNOLOGIES,VETERINARY EQUIPMENT TECHNOLOGIES
Andhra Pradesh,YARRAMASU SIVA RAMA KRISHNA,YARRAMASU SIVA RAMA KRISHNA
Andhra Pradesh,M BUTCHAIAH AND COMPANY,M BUTCHAIAH AND COMPANY
Andhra Pradesh,MS BALUSUPATI CONSTRUCTIONS,MS BALUSUPATI CONSTRUCTIONS
Andhra Pradesh,TIRUMALASETTY ASHOK KUMAR,TIRUMALASETTY ASHOK KUMAR
Andhra Pradesh,ALAPATI SATYANARAYANA,ALAPATI SATYANARAYANA
Andhra Pradesh,GAJULA SAMBASIVA RAO,SAMBANA SRNINIVASA RAO
Andhra Pradesh,SAMBANA SRNINIVASA RAO,SAMBANA SRNINIVASA RAO
Andhra Pradesh,KORNEPATI ASHOK KUMAR,KORNEPATI ASHOK KUMAR
Andhra Pradesh,BOLLEDDU SANGEETHA RAO,BOLLEDDU SANGEETHA RAO
Andhra Pradesh,DOPPALAPUDI VASUDEVA RAO,DOPPALAPUDI VASUDEVA RAO
Andhra Pradesh,EDA HARSHA VARDHAN REDDY,EDA HARSHA VARDHAN REDDY
Andhra Pradesh,VMK ENTERPRISES,VMK ENTERPRISES
Andhra Pradesh,RAMESH BABU YARRAMASU,RAMESH BABU YARRAMASU
Andhra Pradesh,ALAPATI CONSTRUCTIONS,ALAPATI CONSTRUCTIONS
Andhra Pradesh,GNANANETRA ENGINEERING AND  INFRA PR,GNANANETRA ENGINEERING AND  INFRA PR
Andhra Pradesh,EXECUTIVE ENGINEER,EXECUTIVE ENGINEER
Andhra Pradesh,BOBBA LAKSHMI CHANDANA,BOBBA LAKSHMI CHANDANA
Andhra Pradesh,KURUBA SESHAPPA,KURUBA SESHAPPA
Andhra Pradesh,C NARENDRA,C NARENDRA
Andhra Pradesh,K N MURALI KRISHNA,K N MURALI KRISHNA
Andhra Pradesh,R JAYAKUMAR,R JAYAKUMAR
Andhra Pradesh,DHONI MAHADEVAKUMARSOWRI,DHONI MAHADEVAKUMARSOWRI
Andhra Pradesh,SOMANA BOYANA VENKATA CHALAPATHI,SOMANA BOYANA VENKATA CHALAPATHI
Andhra Pradesh,PICHILLI SANKARAIAH,PICHILLI SANKARAIAH
